fighter,victoria_%,binning,Height,Weight,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg,Stance_Orthodox,Stance_Southpaw
Chris Brennan,0,0,172,170,0.6,40,0.97,50,0.0,0,25,2.1,1,0
Hayato Sakurai,0,0,170,168,2.45,49,1.94,59,1.87,69,56,0.3,1,0
Kelly Dullanty,0,0,172,155,0.0,0,0.67,75,0.0,0,66,0.0,1,0
Pete Williams,43,0,190,235,0.61,62,2.77,40,1.84,40,16,0.9,1,0
Jutaro Nakao,100,1,175,170,0.53,38,1.06,44,0.38,50,56,0.0,0,1
Pat Miletich,89,1,177,170,1.79,45,1.66,63,1.96,100,54,1.0,1,0
Murilo Bustamante,67,1,187,183,1.33,32,1.9,60,2.46,33,54,1.2,1,0
Paul Creighton,0,0,167,155,0.72,75,4.65,30,5.37,37,0,0.0,0,1
Tsuyoshi Kohsaka,60,1,180,225,1.88,38,4.41,54,1.32,20,33,0.4,1,0
Amar Suloev,0,0,175,183,1.98,37,2.19,70,0.27,100,88,0.3,1,0
Andrei Semenov,100,1,182,185,0.78,15,2.44,60,1.74,80,55,0.4,1,0
Rodrigo Ruas,0,0,177,185,1.28,35,7.0,41,0.0,0,0,0.0,1,0
Zach Light,0,0,172,170,0.81,33,1.9,48,1.36,100,0,0.0,1,0
Nick Serra,0,0,175,170,0.0,0,1.73,43,1.0,10,0,2.0,1,0
Joao Pierini,0,0,185,155,0.76,14,4.56,33,0.0,0,0,0.0,0,0
Steve Berger,0,0,180,170,1.0,27,3.26,36,0.84,40,16,1.7,1,0
Eugene Jackson,50,0,172,185,2.19,33,3.44,32,1.91,71,16,2.3,1,0
Leigh Remedios,0,0,170,155,0.75,41,1.36,68,0.0,0,33,0.0,1,0
Chris Haseman,0,0,180,205,0.93,70,4.67,28,0.0,0,40,2.0,1,0
James Zikic,0,0,187,205,1.47,35,1.6,44,0.5,25,74,0.5,1,0
Benji Radach,50,0,177,185,2.62,49,2.31,51,1.06,41,71,0.4,1,0
Phillip Miller,100,1,180,185,1.61,54,1.93,50,3.62,25,100,0.6,1,0
Gil Castillo,50,0,175,170,0.6,45,2.22,44,3.33,45,50,0.0,0,1
Alexandre Dantas,0,0,187,238,0.21,25,1.87,60,0.0,0,0,3.1,1,0
Romie Aram,0,0,177,170,1.8,35,2.83,50,2.5,62,83,0.0,1,0
Sean Alvarez,0,0,182,235,0.89,37,3.25,47,0.0,0,0,0.0,1,0
Mark Weir,50,0,187,185,1.54,56,2.5,38,0.8,50,25,2.4,0,1
Richard Crunkilton,0,0,170,155,1.72,41,1.45,58,4.08,61,65,1.3,1,0
Ian Freeman,60,1,180,225,2.54,48,3.11,44,1.44,40,80,0.7,1,0
Eddie Ruiz,0,0,170,155,0.2,25,1.4,47,2.0,12,0,0.0,1,0
Gerald Strebendt,0,0,175,155,0.0,0,4.0,38,0.0,0,0,16.4,1,0
Dave Strasser,100,1,177,170,3.04,45,1.88,59,0.72,33,33,0.0,1,0
Gan McGee,67,1,208,265,2.2,29,2.31,59,0.65,25,83,0.0,1,0
Chris Liguori,0,0,175,185,0.29,33,1.44,0,0.0,0,50,0.0,1,0
Pedro Rizzo,62,1,185,241,1.93,34,3.02,50,0.26,28,78,0.0,1,0
Keith Rockel,0,0,182,185,1.13,73,0.21,66,4.63,75,100,4.6,1,0
Ricco Rodriguez,83,1,193,265,1.85,51,1.15,61,2.3,39,40,1.0,1,0
Nick Agallar,0,0,172,155,0.69,11,4.56,42,0.0,0,0,0.0,1,0
David Abbott,47,0,182,265,1.35,30,3.55,38,1.07,33,66,0.0,0,0
Falaniko Vitale,100,1,177,185,1.88,49,3.68,47,0.72,33,86,0.0,1,0
Lee Murray,0,0,190,185,0.36,15,3.28,32,0.9,100,42,1.8,1,0
Carlos Newton,50,0,175,170,0.65,41,1.55,44,2.47,70,43,0.9,1,0
Wade Shipp,0,0,190,245,4.29,86,2.14,0,0.0,0,75,0.0,1,0
Wesley Correira,67,1,190,260,2.6,36,8.8,40,0.0,0,90,0.0,1,0
Wes Sims,0,0,208,260,0.98,51,2.95,37,0.0,0,40,2.3,1,0
Jonathan Wiezorek,0,0,190,250,1.27,58,5.47,31,1.91,20,0,0.0,0,1
Genki Sudo,50,0,175,155,1.55,39,2.23,33,3.58,60,50,4.2,1,0
Tiki Ghosn,0,0,177,170,2.78,46,2.94,58,0.41,50,61,0.0,1,0
Curtis Stout,0,0,185,185,0.69,67,3.2,29,0.0,0,20,0.0,0,1
Kimo Leopoldo,40,0,190,235,0.76,83,2.12,30,4.55,100,0,2.3,1,0
Ronald Jhun,0,0,180,170,1.45,57,3.01,50,1.81,100,100,0.0,1,0
Vernon White,0,0,182,205,2.11,38,2.2,54,0.88,28,44,0.0,0,1
Renato Verissimo,50,0,185,170,0.92,48,1.87,47,1.46,30,50,2.5,1,0
Tony Fryklund,67,1,182,185,3.49,39,6.5,43,0.0,0,66,0.5,1,0
Mike Kyle,50,0,193,205,3.93,51,3.35,49,1.33,62,50,0.8,1,0
Bobby Southworth,0,0,187,205,0.99,39,1.38,65,3.98,78,64,1.3,1,0
Lodune Sincaid,0,0,175,185,2.72,42,6.17,57,0.0,0,75,0.0,1,0
Alex Schoenauer,0,0,190,185,1.22,40,2.27,42,0.0,0,22,4.9,1,0
Jason Thacker,0,0,177,185,0.63,33,17.05,32,0.0,0,0,0.0,1,0
Josh Rafferty,0,0,182,170,0.6,33,3.6,50,0.0,0,0,9.0,1,0
